Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
ICICI Pru Retirement Fund-Pure Equity Plan(G),Lalit Kumar,HY-SOL,4,1049.7,2.14,Open Ended,27-Feb-19,NIFTY 500 - TRI,30.48,32.06,24.25,-0.82,-5.79,0.4,23.7,31.18,20.9,23.38,6.48,43,75,92443,58.11,18.25,19.07,Technology,0.01,0.01,5.27,11.29,1.09,1.54,2.79,17.83,Hybrid : Solution Oriented,Nil
ICICI Pru Rural Opportunities Fund-Reg(G),Sankaran Naren,EQ-THEM,4,464,1.9,Open Ended,29-Jun-10,Nifty Rural - TRI,407.5,10.15,26.63,1.61,1.74,8.14,16.89,7.03,19.09,7.21,11.51,37.98,44,211944,41.19,10.95,8.97,Construction,6.75,2.8,7.11,2.24,5.81,1.22,0.86,0.81,Equity : Thematic,1% on or before 12M Nil after 12M
ICICI Pru Savings Fund(G),Nikhil Kabra,DT-LOWD,5,22970.7,0.53,Open Ended,27-Sep-02,NIFTY Low Duration Debt Index,522.35,522.35,484.05,0.59,1.83,3.84,7.93,7.78,6.68,6.46,7.32,0,45,684545,67.12,1.25,15.66,Financials,1.61,0.76,7.64,3.7,11.17,21.69,0.06,0.35,Debt : Low Duration,Nil
ICICI Pru Short Term Fund(G),Manish Banthia,DT-SD,5,19991.7,1.02,Open Ended,25-Oct-01,Nifty Short Duration Debt Index,57.55,57.55,53.4,0.5,1.64,3.91,7.79,7.58,6.6,6.82,7.46,0,195,556030,62.22,1.25,4.3,Healthcare,3.95,2.27,7.74,2.8,5.72,11.29,0.31,0.65,Debt : Short Duration,Nil
ICICI Pru Silver ETF,Gaurav Chikane,GOLD-ETF,2,4035.2,0.4,Open Ended,24-Jan-22,Silver,88.17,99.8,70.46,-3.79,-4.51,-2.12,15.99,9.81,17.88,27.84,6.68,51,251,38781,55.28,36.3,22.78,Financials,0.32,0.12,7.42,13.13,0.63,1.08,0.53,23.45,Gold : ETFs,Nil
ICICI Pru Silver ETF FOF(G),Manish Banthia,FOF-DOM,1,904.1,0.6,Open Ended,01-Feb-22,Silver,13.53,15.32,10.88,-3.51,-4.56,-2.25,15.35,11.32,6.17,5.3,7.66,0,60,99333,63.46,11.69,33.04,Financials,1.19,4.73,6.83,11.44,0.59,1.04,0.76,23.11,FoFs : Domestic,1% on or before 15D Nil after 15D
ICICI Pru Smallcap Fund(G),Anish Tawakley,EQ-SML,3,8374.5,1.79,Open Ended,18-Oct-07,Nifty Smallcap 250 - TRI,87.25,93.01,71.53,-1.32,-6.97,-2.62,15.42,26.66,19.42,27.13,15.81,71,107,18501,11.67,5.12,68.22,Automobile and Ancillaries,14.35,6.51,6.98,8.32,0.82,1.19,0.75,14.78,Equity : Small Cap,1% on or before 1Y NIL after 1Y
ICICI Pru Strategic Metal and Energy Equity FoF-Reg(G),Sharmila Dmello,FOF-OVR,4,100.8,1.54,Open Ended,02-Feb-22,NYSE Arca Gold Miners Index,14.03,15.98,12.24,-7.04,-5.88,-1.96,4.05,3.74,8.6,27.87,7.75,82,29,49620,0.86,1.24,13.5,Financials,23.48,0.01,7.26,-1.21,0.11,0.17,1.19,20.26,FoFs : Overseas,1% on or before 1Y Nil after 1Y
ICICI Pru Technology Fund(G),Vaibhav Dusad,EQ-TECH,4,13989.7,1.75,Open Ended,03-Mar-00,BSE TECk Index - TRI,214.05,225.87,163.44,0.2,0.01,14.88,25.63,26.54,7.18,29.62,18.19,41,74,141075,66.71,8.14,15.95,Technology,6.85,0.87,4.16,16.81,1.29,2.44,0.75,16.01,Equity : Sectoral - Technology,1% on or before 15D NIL after 15D
ICICI Pru Thematic Advantage Fund(FOF)(G),Sankaran Naren,FOF-DOM,3,2104.2,1.59,Open Ended,18-Dec-03,NIFTY 200 - TRI,213.97,221.67,173.34,0.39,-2.88,8.39,23.56,24.95,18.1,24.31,15.71,43,74,278194,44.3,17.7,28.86,Financials,0.13,1.06,7.57,14.19,1.85,2.99,1.32,9.83,FoFs : Domestic,1% on or before 1Y NIL After 1Y
ICICI Pru Transportation and Logistics Fund-Reg(G),Rajat Chandak,EQ-AUTO,3,3115.3,1.95,Open Ended,28-Oct-22,Nifty Transportation & Logistics - TRI,18.5,20.27,14.06,-0.39,-10.19,-2.55,26.82,37.34,13.72,12.26,7.68,50,38,103666,69.87,5.6,18.81,Automobile and Ancillaries,6.9,0.27,7.3,17.19,1.34,2.16,0.88,16.18,Equity : Sectoral - Auto,1% on or before 1M Nil after 1M
ICICI Pru Ultra Short Term Fund Fund(G),Manish Banthia,DT-USD,5,14550.9,0.8,Open Ended,03-May-11,NIFTY Ultra Short Duration Debt Index,26.69,26.69,24.85,0.62,1.75,3.55,7.44,7.18,6.31,5.88,7.1,0,9,120818,47.17,15.81,18.47,Financials,0.46,0.41,7.6,3.33,10.96,22.62,0.02,0.31,Debt : Ultra Short Duration,Nil
ICICI Pru US Bluechip Equity Fund(G),Ritesh Lunawat,EQ-INTL,5,3348.6,1.99,Open Ended,06-Jul-12,S&P 500 ,62.38,64.99,55.02,-3.53,-2.64,8.52,10.45,20.04,10.24,14.22,13.41,62,62,555826,59.45,20.08,6.5,Financials,4.99,2.48,6.92,6.7,0.59,0.97,0.09,11.94,Equity : International,1% on or before 1M Nil after 1M
ICICI Pru Value Discovery Fund(G),Sankaran Naren,EQ-VAL,4,48987.8,1.54,Open Ended,16-Aug-04,NIFTY 500 - TRI,440.01,479.11,365.55,-1.57,-6.95,2.47,20.34,25.69,22.04,25.23,15,57,59,376688,73.77,5.84,4.72,Financials,3.15,2.27,6.93,11.54,1.35,2.08,0.79,11.47,Equity : Value / Contra,1% on or before 12M Nil after 12M
Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF-Reg(G),Herin Shah,FOF-OVR,1,426,0.4,Open Ended,21-Apr-22,Nasdaq-100 - TRI,16.86,17.41,12.68,2.49,8.04,9.42,29.98,41.22,24.41,4.63,14.47,54.12,44,277659,37.72,11.8,14.96,Financials,15.18,0.35,7.18,23.66,1.55,2.53,1.25,17.61,FoFs : Overseas,Nil
Invesco India - Invesco Global Consumer Trends FoF-Reg(G),Herin Shah,FOF-OVR,2,305.9,1.54,Open Ended,24-Dec-20,MSCI World Consumer Discretionary Index - Net Dividend,9.32,9.72,6.84,2.08,14.04,20.55,28.26,26.67,-0.4,4.88,5.78,0,1,155574,63.03,16.47,4.37,Financials,28.49,2.4,7.39,22.68,1.19,1.95,1.27,22.05,FoFs : Overseas,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India - Invesco Global Equity Income FoF-Reg(G),Herin Shah,FOF-OVR,2,25.6,1.4,Open Ended,05-May-14,MSCI World Index-Net Dividend,26.05,26.82,21.88,-2.07,-1.91,7.32,13.72,20.1,12.24,12.84,9.85,110,1,61761,98.83,16.45,3.17,Technology,35.07,2.32,7.39,5.44,0.88,1.46,1.99,12.65,FoFs : Overseas,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India - Invesco Pan European Equity FoF-Reg(G),Herin Shah,FOF-OVR,5,34.3,0.95,Open Ended,31-Jan-14,MSCI Europe Index (Total Return Net),15.49,17.52,15.12,-1.16,-10.1,-4.01,-5.08,6.51,4.85,6.25,5.13,61,1,19688,65.59,17.72,36.22,Metals,3.15,2.82,8.3,-13.78,-0.62,-0.97,1.68,14.38,FoFs : Overseas,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Aggressive Hybrid Fund-Reg(G),Dhimant Kothari,HY-EQ,3,574,2.38,Open Ended,30-Jun-18,CRISIL Hybrid 35+65 - Aggressive Index,23,23.28,17.85,1.15,-1.12,6.13,26.39,25.47,16.11,15.57,7.17,68,58,91447,33.55,19.41,11.11,Financials,10.72,5.69,7.21,14.21,1.77,2.71,2.09,11.47,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Arbitrage Fund(G),Deepak Gupta,HY-ARB,3,18251.9,1.06,Open Ended,30-Apr-07,Nifty 50 Arbitrage,30.87,30.87,28.72,0.66,1.85,3.51,7.56,7.47,6.69,5.54,5.92,1740,195,171606,46.16,20.4,7.05,Financials,0.51,0.43,7.02,3.6,3.35,7.81,-0.08,1.01,Hybrid : Arbitrage,0.50% on or before 15D Nil after 15D
Invesco India Balanced Advantage Fund(G),Dhimant Kothari,HY-DYN,2,926,2.16,Open Ended,04-Oct-07,NIFTY 50 Hybrid Composite Debt 50:50 Index,53.86,54.39,45.63,0.55,-0.69,4.77,16.26,18.54,13.57,12.26,10.02,248,44,209088,55.02,9.98,4.15,Financials,1.6,1.3,6.88,7.16,1.36,2,1.48,8.48,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 0.25% for above the limits on or before 3M Nil after 3M
Invesco India Banking and PSU Fund(G),Vikas Garg,DT-B&PSU,3,99.9,0.63,Open Ended,29-Dec-12,NIFTY Banking and PSU Debt Index,2169.34,2169.34,2003.26,0.53,1.33,4.01,8.18,7.32,5.07,5.59,6.38,0,16,203178,41.58,19.42,19.08,FMCG,5.56,3.9,7.24,2.72,4.3,8.31,0.46,0.95,Debt : Banking & PSU,NIL
Invesco India Contra Fund(G),Taher Badshah,EQ-VAL,3,18018.8,1.64,Open Ended,11-Apr-07,BSE 500 - TRI,136.45,142.97,102.35,0.24,-4.7,6.81,30.51,30.28,20.93,22.34,16.32,74,69,120818,55,23.67,16.29,Financials,0.47,0.83,6.69,19.5,1.57,2.3,0.98,15.57,Equity : Value / Contra,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Corporate Bond Fund(G),Vikas Garg,DT-CORP,3,5720.9,0.68,Open Ended,02-Aug-07,NIFTY Corporate Bond Index,3036.75,3036.78,2809.98,0.49,1.35,4.08,8.04,7.35,5.84,6.16,6.67,0,84,19551,49.09,58.28,8.75,Financials,5.25,3.83,7.38,2.72,4.82,9.23,0.41,0.82,Debt : Corporate Bond,Nil
Invesco India Credit Risk Fund(G),Vikas Garg,DT-CR,3,142,1.45,Open Ended,04-Sep-14,NIFTY Credit Risk Bond Index,1815.24,1815.81,1693.14,0.45,1.17,3.53,7.21,9.38,6.95,6.29,5.74,0,1,132,6.44,3.96,1.53,Textile,4.85,3.41,7.57,1.92,3.75,7.28,0.41,0.84,Debt : Credit Risk,4% on or before 1Y Nil after 1Y
Invesco India ELSS Tax Saver Fund(G),Amit Nigam,EQ-ELSS,3,2954.4,1.91,Open Ended,29-Dec-06,BSE 500 - TRI,130.88,133.18,101.66,1.19,-2.26,5.73,26.18,28.98,15.58,19.37,14.47,101,60,92429,45.35,28.46,24.09,Financials,5.2,2.03,6.58,16.23,1.43,2.09,0.88,14.44,Equity : Tax Saving (ELSS),Nil
Invesco India Equity Savings Fund-Reg(G),Dhimant Kothari,HY-EQ,1,353.9,2.3,Open Ended,07-Mar-19,NIFTY 50 Equity Savings Index,16.89,16.89,14.41,1.19,0.19,4.69,16.65,16.34,10.07,9.66,12.37,483,74,183222,47.79,10.13,9.03,Financials,3.02,2.27,7.09,9.55,2.24,3.5,0.77,5.28,Hybrid : Equity Oriented,0.25% on or before 1M Nil after 1M
Invesco India ESG Integration Strategy Fund-Reg(G),Taher Badshah,EQ-THEM,3,519.9,2.42,Open Ended,20-Mar-21,NIFTY100 ESG - TRI,18.3,18.89,14.53,-0.33,-3.37,5.07,21.16,23.71,11.11,29.71,14.59,56,37,162708,63.44,18.02,17.45,Financials,8.16,2.81,7.28,12.4,1.18,1.8,0.9,14.4,Equity : Thematic,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Financial Services Fund(G),Hiten Jain,EQ-FIN,2,1110.4,2.2,Open Ended,14-Jul-08,Nifty Financial Services - TRI,129.02,134.12,104.29,-0.83,-2.03,3.82,20.36,23.74,20.12,14.89,14.24,23,31,183889,56.28,20.88,21.43,Financials,0.01,2.55,6.92,11.29,0.98,1.4,1.01,16.79,Equity : Sectoral - Financial Services,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Flexi Cap Fund-Reg(G),Amit Ganatra,EQ-FLEX,5,2415.3,1.97,Open Ended,14-Feb-22,BSE 500 - TRI,19.24,19.5,14,2.15,-0.42,9.07,35.42,34.86,10.03,5.94,14.95,80,65,91730,47.33,28.46,19.92,Financials,9.88,3.66,7.23,23.21,1.87,2.84,0.9,14.83,Equity : Flexi Cap,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Focused Fund-Reg(G),Taher Badshah,EQ-FLEX,1,3443.2,1.9,Open Ended,29-Sep-20,BSE 500 - TRI,29.24,29.65,20.14,2.83,0.59,10.79,44.51,39.51,21.27,7.12,4.89,47,20,173831,52.09,24.51,17.05,Financials,9.19,4.72,7.59,30.32,2.11,3.26,0.91,16.53,Equity : Flexi Cap,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Gilt Fund(G),Vikas Garg,DT-GILT,4,1354.7,1.25,Open Ended,09-Feb-08,Nifty All Duration G-Sec Index,2731.04,2744.54,2478.32,0.19,-0.31,3.46,9.95,8.14,6.18,5.38,6.46,0,62,79259,46.16,6.42,68.22,Financials,28.45,11.05,7.09,0.81,1.84,3.21,1.6,3.03,Debt : Gilt,Nil
Invesco India Gold ETF,Herin Shah,GOLD-ETF,2,144.4,0.55,Open Ended,19-Mar-10,Gold-India,6785.26,7003.46,5457.02,-0.57,0.55,5.91,19.49,17.07,16.03,13.62,9.93,2,20,127193,69.09,20.3,14.04,Energy,1.44,0.9,7.62,15.88,1.11,1.69,-0.21,13.69,Gold : ETFs,Nil
Invesco India Gold ETF FoF(G),Herin Shah,GOLD-MF,4,99.8,0.45,Open Ended,05-Dec-11,Gold-India,22.11,22.98,17.87,-0.06,1.03,5.36,19.14,16.56,15.62,13.07,9.69,129,64,538968,55.35,63.41,5.47,Financials,0.01,0.9,6.64,13.63,1.06,1.76,0.46,14.2,Gold : MFs,Nil
Invesco India Infrastructure Fund(G),Amit Nigam,EQ-INFRA,4,1609.3,2.08,Open Ended,24-Oct-07,BSE India Infrastructure Index - TRI,65.82,69.53,48.6,0.03,-5.02,-3.45,33.45,42.05,27.73,29.97,17.07,49,44,61761,32.9,30.45,34.59,Capital Goods,3.15,0.01,7.35,22.43,1.31,1.82,1.11,21.41,Equity : Sectoral - Infrastructure,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Large & Mid Cap Fund(G),Aditya Khemani,EQ-L&M,2,6340.1,1.81,Open Ended,09-Aug-07,NIFTY LargeMidcap 250 - TRI,97.68,99.95,69.69,2.65,-1.71,8.1,37.98,35.24,22.28,21.67,15.94,83,47,62881,32.93,45.57,18.07,Financials,22.09,2.73,7.06,25.3,1.9,2.95,0.91,15.69,Equity : Large & Mid Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Largecap Fund(G),Amit Nigam,EQ-LC,3,1316.6,2.09,Open Ended,21-Aug-09,NIFTY 100 - TRI,68.63,72.12,55.35,-0.72,-5.3,1.46,20.57,24.81,14.91,17.86,13.11,83,49,255989,78.21,11.33,8.8,Financials,1.35,0.02,7.55,11.14,1.09,1.6,0.96,14.64,Equity : Large Cap,Nil 
Invesco India Liquid Fund(G),Krishna Cheemalapati,DT-LIQ,2,14857.6,0.22,Open Ended,17-Nov-06,Nifty Liquid Fund Index,3469.47,3469.47,3231.87,0.59,1.75,3.56,7.37,7.17,6.4,5.29,6.3,0,63,304534,57.64,15.43,9.52,Financials,0.14,0.14,7.07,0.76,10.57,5.62,0.9,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Invesco India Low Duration Fund(G),Krishna Cheemalapati,DT-LOWD,4,1493.1,0.6,Open Ended,18-Jan-07,NIFTY Low Duration Debt Index,3640.88,3640.88,3385.89,0.62,1.75,3.66,7.56,7.19,6.13,5.77,6.79,0,29,29955,2.98,16.75,22.76,Financials,0.99,0.87,7.51,3.25,9.98,20.11,0.09,0.35,Debt : Low Duration,Nil
Invesco India Manufacturing Fund-Reg(G),Amit Ganatra,EQ-THEM,4,827.5,2.26,Open Ended,14-Aug-24,Nifty India Manufacturing - TRI,10.79,10.79,9.86,3.68,0.56,3.78,7.82,27.97,21.8,18.81,6.26,43.19,60,52458,28.05,38.99,30.61,Healthcare,5.26,0.02,7.46,29.48,5.18,21.47,0.75,0.57,Equity : Thematic,0.50% on or before 3M Nil after 3M
Invesco India Medium Duration Fund-Reg(G),Vikas Garg,DT-MD,5,229.4,1.15,Open Ended,16-Jul-21,NIFTY Medium Duration Debt Index,1185.21,1185.32,1098.27,0.43,1.16,3.8,7.84,6.96,5.16,5.31,7.21,0,31,112834,74.6,30.76,3.92,Technology,5.24,3.76,7.25,2.07,3.56,7.03,0.54,1.04,Debt : Medium Duration,NIL
Invesco India Midcap Fund(G),Aditya Khemani,EQ-MID,3,5862.7,1.81,Open Ended,19-Apr-07,BSE 150 MidCap - TRI,175.23,177.14,120.72,3.51,0.35,10.91,43.76,39.09,25.08,28.17,18.03,63,53,48446,14.92,57.6,26.44,Financials,6.87,3.84,6.77,29.86,2.06,3.24,0.85,16.59,Equity : Mid Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Money Market Fund(G),Krishna Cheemalapati,DT-MM,2,5747.9,0.48,Open Ended,28-Aug-09,Nifty Money Market Index,2934.19,2934.19,2731.35,0.61,1.71,3.55,7.45,7.22,6.11,5.52,6.52,0,70,122627,49.09,0.72,33.04,Financials,0.5,0.5,7.33,3.33,10.04,21.71,0.03,0.34,Debt : Money Market,Nil
Invesco India Multi Asset Allocation Fund-Reg(G),Taher Badshah,HY-MULTI,4,3062,0.29,Open Ended,17-Dec-24,NIFTY 200 - TRI,9.94,10,9.82,-0.34,-5.86,9.7,7.93,40.23,16.88,6.03,11.18,69.46,36,71717,73.76,19.05,37.97,Capital Goods,4.22,0.52,6.66,6,0.4,1.42,0.52,29.97,Hybrid : Multi Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
Invesco India Multicap Fund(G),Dhimant Kothari,EQ-MLC,4,3897.1,1.89,Open Ended,17-Mar-08,Nifty500 Multicap 50:25:25 - TRI,138.12,141.66,103.66,1.92,-1.67,8.71,30.58,31.4,19.37,23.07,14.97,119,65,50205,31.88,30.76,32.05,Financials,2.3,3.68,7.3,19.76,1.55,2.31,0.89,15.68,Equity : Multi Cap,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco India Nifty 50 ETF,Kuber Mannadi,EQ-ETF,5,90.1,0.1,Open Ended,16-Jun-11,NIFTY 50 - TRI,2721.7,2946.04,2366.47,-1.62,-7.84,-1.28,10.32,16.42,12.85,15.62,12.28,1,50,555827,98.72,1.25,66.15,Financials,10.46,1.28,7.01,1.89,0.5,0.75,1,13.96,Equity : ETFs,Nil
Invesco India Nifty G-sec Jul 2027 Index Fund-Reg(G),Krishna Cheemalapati,DT-MD,1,68.5,0.29,Open Ended,20-Mar-23,Nifty G-sec Jul 2027 Index,1138.95,1139.14,1057.31,0.51,1.47,3.91,7.74,7.15,5.84,15.59,14.17,0,120,256524,36.07,19.26,74.9,Financials,2.48,2.17,6.79,2.65,4.81,10.12,0.34,0.76,Debt : Medium Duration,0.25% on or before 30D Nil after 30D
Invesco India Nifty G-sec Sep 2032 Index Fund-Reg(G),Krishna Cheemalapati,DT-LD,1,45.6,0.29,Open Ended,29-Mar-23,Nifty G-Sec Sep 2032 Index,1157.78,1157.78,1056.95,0.57,1,4.76,9.36,15.8,6.21,21.4,6.55,0,59,61343,86.42,13.62,1.37,Financials,7.23,5.49,6.93,2.27,2.87,5.14,0.96,1.79,Debt : Long Duration,0.25% on or before 30D Nil after 30D
Invesco India Overnight Fund-Reg(G),Krishna Cheemalapati,DT-ON,1,686,0.12,Open Ended,08-Jan-20,Nifty 1D Rate Index,1266.99,1266.99,1187.89,0.55,1.61,3.26,6.68,6.64,5.97,22.31,7.46,0,22,210993,70.97,6.28,32.02,Financials,0.01,0.01,6.73,0.3,20.6,2.28,0.99,0.02,Debt : Overnight,Nil
