Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
ICICI Pru Passive Multi-Asset FoF(G),Sankaran Naren,FOF-DOM,1,1111.5,0.62,Open Ended,14-Jan-22,CRISIL Hybrid 50+50 - Moderate Index,13.69,14.16,12.22,-1.03,-3.12,3.07,10.65,13.83,19.25,6.31,6.2,98,1,73172,35.81,1.24,14.16,Financials,0.61,0.83,10.88,4.54,1.2,2.06,0.81,5.63,FoFs : Domestic,1% on or before 12M Nil after 12M
ICICI Pru Passive Strategy Fund(FOF)(G),Sankaran Naren,FOF-DOM,2,174.6,0.42,Open Ended,18-Dec-03,NIFTY 200 - TRI,157.14,167.28,132.35,-0.38,-6.05,2.27,16.15,23.25,16.56,17.8,12.9,8,49,429503,65.15,3.21,15.25,Financials,1.78,0.27,7.08,6.58,1.1,1.75,1.83,10.89,FoFs : Domestic,1% on or before 15D Nil after 15D
ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G),Dharmesh Kakkad,EQ-PHRM,4,5044.6,1.92,Open Ended,13-Jul-18,BSE Health Care - TRI,40.39,40.39,27.75,4.6,3.12,24.41,47.94,45.27,24.39,31.14,6.27,91,44,50940,36.72,23.31,37.25,Healthcare,7.12,0.05,7.2,34.78,2.95,5.52,0.46,12.56,Equity : Sectoral - Pharma,1% on or before 15D Nil after 15D
ICICI Pru PSU Equity Fund-Reg(G),Mittul Kalawadia,EQ-INDX,4,2296.8,2.01,Open Ended,12-Sep-22,BSE PSU - TRI,20.13,22.88,16.14,-4.69,-9.95,-5.42,23.66,38.14,20.69,5.6,5.51,76,35,200731,68.65,19.92,4.41,Energy,4.01,0.35,7.25,14.79,0.91,1.27,1.22,23.12,Equity : Index Funds,1% on or before 1M Nil after 1M
ICICI Pru Quant Fund(G),Roshan Chutkey,EQ-THEM,5,96.5,1.39,Open Ended,11-Dec-20,BSE 200 - TRI,22.04,23.55,18.26,-1.41,-7.43,1.07,18.4,22.96,15.23,5.2,11.93,102,55,184511,64.4,28.27,3.1,Financials,3,0.39,7.54,10.23,1.17,1.8,0.78,12.1,Equity : Thematic,1% on or before 3M Nil after 3M
ICICI Pru Regular Gold Savings Fund(FOF)(G),Manish Banthia,GOLD-MF,1,1359.6,0.39,Open Ended,11-Oct-11,Gold-India,24.16,25.05,19.54,0.01,1.24,6.02,19.66,16.68,15.51,13.06,9.78,0,30,83430,86.29,11.76,31.7,Financials,0.02,0.02,7.58,15.3,1.18,1.88,0.2,13.47,Gold : MFs,1% on or before 15D Nil after 15D
ICICI Pru Regular Savings Fund(G),Manish Banthia,HY-DT(CO),3,3201,1.66,Open Ended,30-Mar-04,NIFTY 50 Hybrid Composite Debt 15:85 Index,72.48,72.48,64.8,0.47,0,4.07,11.47,11.49,9.38,9.76,9.35,26,56,85863,11.51,3.21,7.51,Financials,3.5,2.14,7.89,5.47,2.47,3.93,0.62,2.96,Hybrid : Debt Oriented (Conservative),Nil on 30% of units within 1Y and 1% for more than 30% of units within 1Y Nil after 1Y
ICICI Pru Retirement Fund-Hybrid Aggressive Plan(G),Lalit Kumar,HY-SOL,3,720.4,2.3,Open Ended,27-Feb-19,CRISIL Hybrid 35+65 - Aggressive Index,24.61,25.79,20,-0.33,-5.1,-0.41,21.17,26.54,17.4,18.13,11.84,42,70,92479,48.33,19.21,15.35,Technology,3.62,2.29,7.58,10.08,1.11,1.59,2.27,15.07,Hybrid : Solution Oriented,Nil
ICICI Pru Retirement Fund-Hybrid Cons Plan(G),Lalit Kumar,HY-SOL,5,78,2.14,Open Ended,27-Feb-19,NIFTY 50 Hybrid Composite Debt 15:85 Index,16.58,16.66,15,0.31,-0.66,2.45,10.06,12.58,8.93,9.07,6.35,20,23,134205,17.2,5.61,1.9,Metals,4.24,2.4,7.61,4.03,1.32,1.98,0.66,4.56,Hybrid : Solution Oriented,Nil
ICICI Pru Retirement Fund-Pure Debt Plan(G),Darshil Dedhia,HY-SOL,1,112.7,2.17,Open Ended,27-Feb-19,NIFTY Composite Debt Index,14.48,14.48,13.51,0.39,1.33,3.69,7.21,6.62,5.34,5.76,9.83,0,67,182616,73.76,30.68,13.57,Financials,5.07,2.71,7.62,2.12,3.9,7.48,0.34,0.8,Hybrid : Solution Oriented,Nil
